ppo: upd 5 rew/step=0.0001 pi=0.022 v=1.337 ent=0.584 t=2s
ppo: upd 10 rew/step=-0.0001 pi=0.000 v=0.553 ent=0.573 t=4s
ppo: upd 15 rew/step=-0.0001 pi=-0.006 v=0.095 ent=0.569 t=6s
ppo: upd 20 rew/step=0.0002 pi=-0.006 v=0.056 ent=0.580 t=7s
ppo: upd 25 rew/step=-0.0010 pi=-0.005 v=0.064 ent=0.569 t=9s
ppo: upd 30 rew/step=-0.0003 pi=-0.006 v=0.021 ent=0.623 t=11s
ppo: upd 35 rew/step=-0.0002 pi=-0.005 v=0.022 ent=0.552 t=13s
ppo: upd 40 rew/step=-0.0018 pi=-0.007 v=0.026 ent=0.587 t=14s
ppo: upd 45 rew/step=0.0001 pi=-0.007 v=0.014 ent=0.611 t=16s
ppo: upd 50 rew/step=-0.0010 pi=-0.005 v=0.027 ent=0.539 t=18s
ppo: upd 55 rew/step=-0.0007 pi=-0.007 v=0.017 ent=0.574 t=19s
ppo: upd 60 rew/step=-0.0009 pi=-0.008 v=0.017 ent=0.562 t=21s
ppo: upd 65 rew/step=0.0002 pi=-0.008 v=0.010 ent=0.567 t=22s
ppo: upd 70 rew/step=-0.0000 pi=-0.005 v=0.007 ent=0.580 t=24s
ppo: upd 75 rew/step=-0.0004 pi=-0.005 v=0.025 ent=0.660 t=26s
ppo: upd 80 rew/step=-0.0016 pi=-0.008 v=0.019 ent=0.564 t=27s
ppo: upd 85 rew/step=-0.0001 pi=-0.009 v=0.009 ent=0.552 t=29s
ppo: upd 90 rew/step=-0.0000 pi=-0.008 v=0.010 ent=0.589 t=31s
ppo: upd 95 rew/step=0.0003 pi=-0.007 v=0.007 ent=0.564 t=32s
ppo: upd 100 rew/step=0.0004 pi=-0.007 v=0.013 ent=0.579 t=34s
ppo: upd 105 rew/step=-0.0001 pi=-0.008 v=0.006 ent=0.538 t=36s
ppo: upd 110 rew/step=-0.0002 pi=-0.007 v=0.007 ent=0.490 t=37s
ppo: upd 115 rew/step=-0.0007 pi=-0.008 v=0.011 ent=0.491 t=39s
ppo: upd 120 rew/step=-0.0009 pi=-0.005 v=0.009 ent=0.437 t=41s
ppo: upd 125 rew/step=0.0001 pi=-0.007 v=0.009 ent=0.488 t=42s
ppo: upd 130 rew/step=-0.0008 pi=-0.006 v=0.011 ent=0.491 t=44s
ppo: upd 135 rew/step=-0.0001 pi=-0.004 v=0.007 ent=0.394 t=46s
ppo: upd 140 rew/step=-0.0001 pi=-0.006 v=0.005 ent=0.432 t=48s
ppo: upd 145 rew/step=0.0001 pi=-0.008 v=0.005 ent=0.444 t=49s
ppo: upd 150 rew/step=0.0002 pi=-0.006 v=0.008 ent=0.484 t=51s
ppo: upd 155 rew/step=-0.0003 pi=-0.004 v=0.003 ent=0.448 t=53s
ppo: upd 160 rew/step=-0.0019 pi=-0.006 v=0.010 ent=0.441 t=54s
ppo: upd 165 rew/step=0.0002 pi=-0.008 v=0.007 ent=0.511 t=56s
