ppo: upd 5 rew/step=-0.0003 pi=0.005 v=1.248 ent=0.699 t=2s
ppo: upd 10 rew/step=-0.0002 pi=-0.005 v=0.298 ent=0.662 t=4s
ppo: upd 15 rew/step=-0.0012 pi=-0.010 v=0.096 ent=0.673 t=6s
ppo: upd 20 rew/step=-0.0003 pi=-0.010 v=0.036 ent=0.711 t=7s
ppo: upd 25 rew/step=-0.0002 pi=-0.004 v=0.048 ent=0.727 t=9s
ppo: upd 30 rew/step=-0.0011 pi=-0.008 v=0.023 ent=0.746 t=11s
ppo: upd 35 rew/step=-0.0011 pi=-0.012 v=0.023 ent=0.688 t=13s
ppo: upd 40 rew/step=-0.0012 pi=-0.010 v=0.019 ent=0.717 t=14s
ppo: upd 45 rew/step=-0.0003 pi=-0.009 v=0.008 ent=0.720 t=16s
ppo: upd 50 rew/step=-0.0020 pi=-0.007 v=0.035 ent=0.681 t=18s
ppo: upd 55 rew/step=-0.0003 pi=-0.007 v=0.008 ent=0.638 t=20s
ppo: upd 60 rew/step=-0.0003 pi=-0.007 v=0.010 ent=0.625 t=21s
ppo: upd 65 rew/step=-0.0003 pi=-0.006 v=0.006 ent=0.671 t=23s
ppo: upd 70 rew/step=-0.0002 pi=-0.002 v=0.005 ent=0.641 t=25s
ppo: upd 75 rew/step=-0.0003 pi=-0.005 v=0.012 ent=0.626 t=26s
ppo: upd 80 rew/step=-0.0003 pi=-0.008 v=0.003 ent=0.632 t=28s
ppo: upd 85 rew/step=-0.0003 pi=-0.009 v=0.007 ent=0.608 t=30s
ppo: upd 90 rew/step=-0.0003 pi=-0.009 v=0.005 ent=0.606 t=32s
ppo: upd 95 rew/step=-0.0003 pi=-0.005 v=0.003 ent=0.633 t=33s
ppo: upd 100 rew/step=-0.0012 pi=-0.010 v=0.012 ent=0.645 t=35s
ppo: upd 105 rew/step=-0.0003 pi=-0.007 v=0.006 ent=0.721 t=37s
ppo: upd 110 rew/step=-0.0011 pi=-0.010 v=0.009 ent=0.646 t=39s
ppo: upd 115 rew/step=-0.0011 pi=-0.007 v=0.009 ent=0.683 t=40s
ppo: upd 120 rew/step=-0.0003 pi=-0.005 v=0.003 ent=0.651 t=42s
ppo: upd 125 rew/step=-0.0020 pi=-0.011 v=0.012 ent=0.671 t=44s
ppo: upd 130 rew/step=-0.0003 pi=-0.008 v=0.004 ent=0.621 t=46s
ppo: upd 135 rew/step=-0.0002 pi=-0.007 v=0.005 ent=0.663 t=47s
ppo: upd 140 rew/step=-0.0003 pi=-0.006 v=0.003 ent=0.624 t=49s
ppo: upd 145 rew/step=-0.0002 pi=-0.009 v=0.002 ent=0.677 t=51s
ppo: upd 150 rew/step=-0.0003 pi=-0.009 v=0.006 ent=0.722 t=53s
ppo: upd 155 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.694 t=54s
ppo: upd 160 rew/step=-0.0003 pi=-0.007 v=0.004 ent=0.687 t=56s
ppo: upd 165 rew/step=-0.0011 pi=-0.010 v=0.010 ent=0.779 t=58s
ppo: upd 170 rew/step=-0.0003 pi=-0.004 v=0.002 ent=0.670 t=60s
ppo: upd 175 rew/step=-0.0011 pi=-0.009 v=0.009 ent=0.792 t=61s
ppo: upd 180 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.749 t=63s
ppo: upd 185 rew/step=-0.0002 pi=-0.007 v=0.003 ent=0.721 t=65s
ppo: upd 190 rew/step=-0.0002 pi=-0.007 v=0.002 ent=0.748 t=67s
ppo: upd 195 rew/step=-0.0003 pi=-0.004 v=0.002 ent=0.717 t=68s
ppo: upd 200 rew/step=-0.0003 pi=-0.004 v=0.004 ent=0.634 t=70s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 200 score=0.045 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.45 pass_hard=0.00
ppo: SHIPPED new best (score 0.045) -> /home/jack/Desktop/hax/haxball-clone/internal/policy/weights/neural_v1.bin
ppo: upd 205 rew/step=-0.0003 pi=-0.006 v=0.001 ent=0.689 t=92s
ppo: upd 210 rew/step=-0.0003 pi=-0.008 v=0.002 ent=0.703 t=94s
ppo: upd 215 rew/step=-0.0002 pi=-0.004 v=0.001 ent=0.695 t=96s
ppo: upd 220 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.707 t=97s
ppo: upd 225 rew/step=-0.0003 pi=-0.008 v=0.003 ent=0.690 t=99s
ppo: upd 230 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.715 t=101s
ppo: upd 235 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.753 t=102s
ppo: upd 240 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.753 t=104s
ppo: upd 245 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.847 t=106s
ppo: upd 250 rew/step=-0.0002 pi=-0.001 v=0.002 ent=0.821 t=107s
ppo: upd 255 rew/step=-0.0003 pi=-0.003 v=0.001 ent=0.796 t=109s
ppo: upd 260 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.765 t=111s
ppo: upd 265 rew/step=-0.0003 pi=-0.002 v=0.001 ent=0.825 t=112s
ppo: upd 270 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.789 t=114s
ppo: upd 275 rew/step=-0.0003 pi=0.000 v=0.001 ent=0.751 t=116s
ppo: upd 280 rew/step=-0.0003 pi=-0.001 v=0.000 ent=0.750 t=118s
ppo: upd 285 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.776 t=120s
ppo: upd 290 rew/step=-0.0003 pi=-0.002 v=0.000 ent=0.622 t=121s
ppo: upd 295 rew/step=-0.0003 pi=-0.002 v=0.001 ent=0.766 t=123s
ppo: upd 300 rew/step=-0.0003 pi=-0.003 v=0.002 ent=0.910 t=125s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00300.bin (941716 bytes), parity skipped
ppo: added snapshot /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00300.bin; league: ['rule:easy 0.48@116', 'rule:normal 0.49@310', 'rule:hard 0.48@346', 'rule:impossible 0.45@380', 'frozen:snap_00300.bin -']
ppo: upd 305 rew/step=-0.0003 pi=-0.005 v=0.003 ent=0.770 t=130s
ppo: upd 310 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.808 t=137s
ppo: upd 315 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.836 t=145s
ppo: upd 320 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.687 t=154s
ppo: upd 325 rew/step=-0.0003 pi=-0.005 v=0.003 ent=0.796 t=164s
ppo: upd 330 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.756 t=172s
ppo: upd 335 rew/step=-0.0003 pi=-0.004 v=0.002 ent=0.868 t=180s
ppo: upd 340 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.803 t=189s
ppo: upd 345 rew/step=-0.0003 pi=-0.004 v=0.001 ent=0.880 t=197s
ppo: upd 350 rew/step=-0.0003 pi=-0.004 v=0.003 ent=0.726 t=206s
ppo: upd 355 rew/step=-0.0002 pi=-0.004 v=0.002 ent=0.717 t=214s
ppo: upd 360 rew/step=-0.0003 pi=-0.007 v=0.002 ent=0.974 t=222s
ppo: upd 365 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.840 t=231s
ppo: upd 370 rew/step=-0.0003 pi=-0.006 v=0.001 ent=0.880 t=239s
ppo: upd 375 rew/step=-0.0002 pi=-0.006 v=0.003 ent=0.919 t=247s
ppo: upd 380 rew/step=-0.0003 pi=-0.003 v=0.001 ent=0.811 t=255s
ppo: upd 385 rew/step=-0.0003 pi=-0.004 v=0.002 ent=1.073 t=264s
ppo: upd 390 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.899 t=273s
ppo: upd 395 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.053 t=281s
ppo: upd 400 rew/step=-0.0003 pi=-0.006 v=0.004 ent=0.889 t=290s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 400 score=0.050 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.50 pass_hard=0.00
ppo: SHIPPED new best (score 0.050) -> /home/jack/Desktop/hax/haxball-clone/internal/policy/weights/neural_v1.bin
ppo: upd 405 rew/step=-0.0003 pi=-0.010 v=0.002 ent=0.857 t=318s
ppo: upd 410 rew/step=-0.0002 pi=-0.008 v=0.001 ent=1.131 t=326s
ppo: upd 415 rew/step=-0.0003 pi=-0.006 v=0.002 ent=0.799 t=335s
ppo: upd 420 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.062 t=344s
ppo: upd 425 rew/step=-0.0002 pi=-0.006 v=0.004 ent=1.014 t=354s
ppo: upd 430 rew/step=-0.0003 pi=-0.001 v=0.001 ent=0.887 t=363s
ppo: upd 435 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.095 t=371s
ppo: upd 440 rew/step=-0.0003 pi=0.002 v=0.001 ent=1.077 t=379s
ppo: upd 445 rew/step=-0.0003 pi=-0.005 v=0.001 ent=0.975 t=388s
ppo: upd 450 rew/step=-0.0003 pi=-0.007 v=0.002 ent=1.082 t=397s
ppo: upd 455 rew/step=-0.0003 pi=-0.006 v=0.001 ent=0.887 t=406s
ppo: upd 460 rew/step=-0.0003 pi=-0.007 v=0.002 ent=1.140 t=414s
ppo: upd 465 rew/step=-0.0003 pi=-0.007 v=0.001 ent=0.996 t=422s
ppo: upd 470 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.045 t=432s
ppo: upd 475 rew/step=-0.0002 pi=-0.007 v=0.002 ent=1.056 t=442s
ppo: upd 480 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.099 t=450s
ppo: upd 485 rew/step=0.0007 pi=-0.007 v=0.006 ent=1.153 t=460s
ppo: upd 490 rew/step=-0.0003 pi=-0.006 v=0.001 ent=0.928 t=469s
ppo: upd 495 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.252 t=478s
ppo: upd 500 rew/step=-0.0002 pi=-0.006 v=0.002 ent=1.147 t=487s
ppo: upd 505 rew/step=-0.0003 pi=0.009 v=0.002 ent=1.179 t=497s
ppo: upd 510 rew/step=-0.0003 pi=-0.001 v=0.002 ent=1.119 t=505s
ppo: upd 515 rew/step=-0.0003 pi=-0.008 v=0.001 ent=1.001 t=514s
ppo: upd 520 rew/step=-0.0002 pi=-0.007 v=0.002 ent=1.197 t=523s
ppo: upd 525 rew/step=-0.0003 pi=-0.008 v=0.002 ent=1.243 t=531s
ppo: upd 530 rew/step=-0.0002 pi=-0.006 v=0.001 ent=1.111 t=538s
ppo: upd 535 rew/step=-0.0002 pi=-0.007 v=0.001 ent=1.309 t=547s
ppo: upd 540 rew/step=-0.0003 pi=-0.005 v=0.001 ent=1.122 t=556s
ppo: upd 545 rew/step=0.0007 pi=-0.008 v=0.005 ent=1.292 t=565s
ppo: upd 550 rew/step=-0.0002 pi=-0.004 v=0.001 ent=1.407 t=569s
ppo: upd 555 rew/step=0.0006 pi=-0.006 v=0.004 ent=1.141 t=578s
ppo: upd 560 rew/step=-0.0002 pi=-0.009 v=0.001 ent=1.283 t=586s
ppo: upd 565 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.110 t=596s
ppo: upd 570 rew/step=0.0007 pi=-0.006 v=0.005 ent=1.339 t=604s
ppo: upd 575 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.314 t=612s
